title,author,rating,isbn,
Welsh Tales Of Terror,R. Chetwynd-Hayes,3.22,6139566,
Ragtime,E.L. Doctorow,3.88,553026003,
Ragtime in Simla (Joe Sandilands  #2),Barbara Cleverly,3.83,385339720,
The Malady of Death,Marguerite Duras-Barbara Bray,3.86,802130364,
Thank You for Smoking,Christopher Buckley,3.93,812976525,
The Crossing,Cormac McCarthy,4.12,517168952,
Cities of the Plain (The Border Trilogy  #3),Cormac McCarthy,4.09,679747192,
The Agony and the Ecstasy: A Biographical Novel of Michelangelo,Irving Stone,4.07,451213238,
The Agony and the Ecstasy,Irving Stone,4.07,99416271,
Harvest,Tess Gerritsen,4.1,067155302X,
Story of O (Story of O #1),Pauline Réage-Sabine d'Estree,3.33,345301110,
Story of O,Pauline Réage-John P. Hand,3.33,1562010352,
The O. Henry Prize Stories 2003,Laura Furman-David Guterson-Diane Johnson-Jennifer Egan,3.8,1400031311,
The Illustrated Story Of O,Doris Kloster-Pauline Réage,4,312266057,
The Complete Stories,Flannery O'Connor-Robert Giroux,4.4,374626235,
The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur Bennett,4.53,851512283,
Valley Of Silence (Circle Trilogy  #3),Nora Roberts,4.22,515141674,
Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld-Steve Wozniak,4.18,596007191,
The Valley of Horses (Earth's Children  #2),Jean M. Auel,4,553381660,
Lion in the Valley  (Amelia Peabody  #4),Elizabeth Peters,4.15,1841192163,
How Green Was My Valley,Richard Llewellyn,4.17,141185856,
Once A Warrior King: Memories of an Officer in Vietnam,David Donovan,4.27,345479076,
Once a Warrior (Warriors  #1),Karyn Monk,3.74,553574221,
Once Were Warriors,Alan Duff,3.95,908884001,
Time and Again (Time  #1),Jack Finney,3.96,575073608,
Time and Again (Time Travel #1-2),Nora Roberts,3.76,373285337,
Time and Again: Time Was / Times Change,Nora Roberts,3.76,373484410,
Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,4.14,60609176,
Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,Marcus J. Borg,4.13,60609192,
The Complete Idiot's Guide to Business Plans,Gwen Moran,3.32,1592574009,
PHP and MySQL Web Development (Developer's Library),Luke Welling-Laura Thomson,3.96,672326728,
Beginning PHP and MySQL 5: From Novice to Professional,W. Jason Gilmore,3.73,1590595521,
PHP & MySQL For Dummies,Janet Valade,3.54,470096004,
PHP and MySQL for Dummies,Janet Valade,3.54,764555898,
Graphic Design Now,Charlotte Fiell-Peter Fiell,3.43,382284778X,
Downsize This!,Michael Moore,3.62,330419153,
